run_id,episode,total_reward,avg_reward,epsilon,alpha,gamma,qtable_coverage
1,266,-260,-0.98,0.2636,0.1,0.9,98.0
1,267,-280,-1.05,0.26228,0.1,0.9,98.0
1,268,-165,-0.62,0.26097,0.1,0.9,98.0
1,269,-220,-0.82,0.25966,0.1,0.9,98.0
1,270,-295,-1.09,0.25836,0.1,0.9,98.0
1,271,-260,-0.96,0.25707,0.1,0.9,98.0
1,272,-300,-1.1,0.25579,0.1,0.9,98.0
1,273,-385,-1.41,0.25451,0.1,0.9,98.0
1,274,-330,-1.2,0.25324,0.1,0.9,98.0
1,275,-260,-0.95,0.25197,0.1,0.9,98.0
1,276,-275,-1.0,0.25071,0.1,0.9,98.0
1,277,-130,-0.47,0.24946,0.1,0.9,98.0
1,278,-245,-0.88,0.24821,0.1,0.9,98.0
1,279,-210,-0.75,0.24697,0.1,0.9,98.0
1,280,-250,-0.89,0.24573,0.1,0.9,98.0
1,281,-400,-1.42,0.2445,0.1,0.9,98.0
1,282,-525,-1.86,0.24328,0.1,0.9,98.0
1,283,-60,-0.21,0.24206,0.1,0.9,98.0
1,284,-130,-0.46,0.24085,0.1,0.9,98.0
1,285,-205,-0.72,0.23965,0.1,0.9,98.0
1,286,-160,-0.56,0.23845,0.1,0.9,98.0
1,287,-60,-0.21,0.23726,0.1,0.9,98.0
1,288,-310,-1.08,0.23607,0.1,0.9,98.0
1,289,-120,-0.42,0.23489,0.1,0.9,98.0
1,290,-775,-2.67,0.23372,0.1,0.9,98.0
1,291,-240,-0.82,0.23255,0.1,0.9,98.0
1,292,-270,-0.92,0.23139,0.1,0.9,98.0
1,293,-470,-1.6,0.23023,0.1,0.9,98.0
1,294,-350,-1.19,0.22908,0.1,0.9,98.0
1,295,-230,-0.78,0.22793,0.1,0.9,98.0
1,296,-180,-0.61,0.22679,0.1,0.9,98.0
1,297,-455,-1.53,0.22566,0.1,0.9,98.0
1,298,-200,-0.67,0.22453,0.1,0.9,98.0
1,299,-340,-1.14,0.22341,0.1,0.9,98.0
1,300,-160,-0.53,0.22229,0.1,0.9,98.0
1,301,-470,-1.56,0.22118,0.1,0.9,98.0
1,302,-100,-0.33,0.22007,0.1,0.9,98.0
1,303,-120,-0.4,0.21897,0.1,0.9,98.0
1,304,-475,-1.56,0.21788,0.1,0.9,98.0
1,305,-250,-0.82,0.21679,0.1,0.9,98.0
1,306,-640,-2.09,0.21571,0.1,0.9,98.0
1,307,-200,-0.65,0.21463,0.1,0.9,98.0
1,308,-405,-1.31,0.21355,0.1,0.9,98.0
1,309,-80,-0.26,0.21249,0.1,0.9,98.0
1,310,-270,-0.87,0.21142,0.1,0.9,98.0
1,311,-150,-0.48,0.21037,0.1,0.9,98.0
1,312,-200,-0.64,0.20932,0.1,0.9,98.0
1,313,-165,-0.53,0.20827,0.1,0.9,98.0
1,314,-855,-2.72,0.20723,0.1,0.9,98.0
1,315,-120,-0.38,0.20619,0.1,0.9,98.0
1,316,-140,-0.44,0.20516,0.1,0.9,98.0
1,317,-130,-0.41,0.20413,0.1,0.9,98.0
1,318,-140,-0.44,0.20311,0.1,0.9,98.0
1,319,-100,-0.31,0.2021,0.1,0.9,98.0
1,320,-205,-0.64,0.20109,0.1,0.9,98.0
1,321,-230,-0.72,0.20008,0.1,0.9,98.0
1,322,-60,-0.19,0.19908,0.1,0.9,98.0
1,323,-160,-0.5,0.19809,0.1,0.9,98.0
1,324,-375,-1.16,0.1971,0.1,0.9,98.0
1,325,-515,-1.58,0.19611,0.1,0.9,98.0
1,326,-590,-1.81,0.19513,0.1,0.9,98.0
1,327,-165,-0.5,0.19415,0.1,0.9,98.0
1,328,-405,-1.23,0.19318,0.1,0.9,98.0
1,329,-330,-1.0,0.19222,0.1,0.9,98.0
1,330,-205,-0.62,0.19126,0.1,0.9,98.0
1,331,-205,-0.62,0.1903,0.1,0.9,98.0
1,332,-250,-0.75,0.18935,0.1,0.9,98.0
1,333,-165,-0.5,0.1884,0.1,0.9,98.0
1,334,-200,-0.6,0.18746,0.1,0.9,98.0
1,335,-190,-0.57,0.18652,0.1,0.9,98.0
1,336,-140,-0.42,0.18559,0.1,0.9,98.0
1,337,-275,-0.82,0.18466,0.1,0.9,98.0
1,338,-100,-0.3,0.18374,0.1,0.9,98.0
1,339,-230,-0.68,0.18282,0.1,0.9,98.0
1,340,-150,-0.44,0.18191,0.1,0.9,98.0
1,341,-595,-1.74,0.181,0.1,0.9,98.0
1,342,-130,-0.38,0.18009,0.1,0.9,98.0
1,343,-170,-0.5,0.17919,0.1,0.9,98.0
1,344,-325,-0.94,0.1783,0.1,0.9,98.0
1,345,-140,-0.41,0.1774,0.1,0.9,98.0
1,346,-90,-0.26,0.17652,0.1,0.9,98.0
1,347,-345,-0.99,0.17563,0.1,0.9,98.0
1,348,-170,-0.49,0.17476,0.1,0.9,98.0
1,349,-165,-0.47,0.17388,0.1,0.9,98.0
1,350,-160,-0.46,0.17301,0.1,0.9,98.0
1,351,-240,-0.68,0.17215,0.1,0.9,98.0
1,352,-120,-0.34,0.17129,0.1,0.9,98.0
1,353,-60,-0.17,0.17043,0.1,0.9,98.0
1,354,-200,-0.56,0.16958,0.1,0.9,98.0
1,355,-100,-0.28,0.16873,0.1,0.9,98.0
1,356,-395,-1.11,0.16789,0.1,0.9,98.0
1,357,-205,-0.57,0.16705,0.1,0.9,98.0
1,358,-210,-0.59,0.16621,0.1,0.9,98.0
1,359,-165,-0.46,0.16538,0.1,0.9,98.0
1,360,-100,-0.28,0.16455,0.1,0.9,98.0
1,361,-185,-0.51,0.16373,0.1,0.9,98.0
1,362,-200,-0.55,0.16291,0.1,0.9,98.0
1,363,-60,-0.17,0.1621,0.1,0.9,98.0
1,364,-165,-0.45,0.16129,0.1,0.9,98.0
1,365,-165,-0.45,0.16048,0.1,0.9,98.0
1,366,-60,-0.16,0.15968,0.1,0.9,98.0
1,367,-280,-0.76,0.15888,0.1,0.9,98.0
1,368,-230,-0.62,0.15809,0.1,0.9,98.0
1,369,-120,-0.33,0.1573,0.1,0.9,98.0
1,370,-185,-0.5,0.15651,0.1,0.9,98.0
1,371,-60,-0.16,0.15573,0.1,0.9,98.0
1,372,-100,-0.27,0.15495,0.1,0.9,98.0
1,373,-185,-0.5,0.15417,0.1,0.9,98.0
1,374,-100,-0.27,0.1534,0.1,0.9,98.0
1,375,-185,-0.49,0.15264,0.1,0.9,98.0
1,376,-205,-0.55,0.15187,0.1,0.9,98.0
1,377,-165,-0.44,0.15111,0.1,0.9,98.0
1,378,-255,-0.67,0.15036,0.1,0.9,98.0
1,379,-165,-0.44,0.14961,0.1,0.9,98.0
1,380,-200,-0.53,0.14886,0.1,0.9,98.0
1,381,-230,-0.6,0.14811,0.1,0.9,98.0
1,382,-330,-0.86,0.14737,0.1,0.9,98.0
1,383,-190,-0.5,0.14664,0.1,0.9,98.0
1,384,-160,-0.42,0.1459,0.1,0.9,98.0
1,385,-560,-1.45,0.14517,0.1,0.9,98.0
1,386,-185,-0.48,0.14445,0.1,0.9,98.0
1,387,-170,-0.44,0.14372,0.1,0.9,98.0
1,388,-60,-0.15,0.14301,0.1,0.9,98.0
1,389,-165,-0.42,0.14229,0.1,0.9,98.0
1,390,-165,-0.42,0.14158,0.1,0.9,98.0
1,391,-180,-0.46,0.14087,0.1,0.9,98.0
1,392,-235,-0.6,0.14017,0.1,0.9,98.0
1,393,-60,-0.15,0.13947,0.1,0.9,98.0
1,394,-210,-0.53,0.13877,0.1,0.9,98.0
1,395,-140,-0.35,0.13808,0.1,0.9,98.0
1,396,-185,-0.47,0.13739,0.1,0.9,98.0
1,397,-150,-0.38,0.1367,0.1,0.9,98.0
1,398,-185,-0.46,0.13601,0.1,0.9,98.0
1,399,-205,-0.51,0.13533,0.1,0.9,98.0
1,400,-170,-0.42,0.13466,0.1,0.9,98.0
1,401,-150,-0.37,0.13398,0.1,0.9,98.0
1,402,-225,-0.56,0.13331,0.1,0.9,98.0
1,403,-255,-0.63,0.13265,0.1,0.9,98.0
1,404,-100,-0.25,0.13199,0.1,0.9,98.0
1,405,-340,-0.84,0.13133,0.1,0.9,98.0
1,406,-100,-0.25,0.13067,0.1,0.9,98.0
1,407,-150,-0.37,0.13002,0.1,0.9,98.0
1,408,-60,-0.15,0.12937,0.1,0.9,98.0
1,409,-165,-0.4,0.12872,0.1,0.9,98.0
1,410,-275,-0.67,0.12807,0.1,0.9,98.0
1,411,-60,-0.15,0.12743,0.1,0.9,98.0
1,412,-235,-0.57,0.1268,0.1,0.9,98.0
1,413,-165,-0.4,0.12616,0.1,0.9,98.0
1,414,-60,-0.14,0.12553,0.1,0.9,98.0
